City,Orders,Sales,Profit,Avg_Order_Value
Mumbai,1287,23511728.0,6427597.07,18268.630924630925
Delhi,1245,23104434.0,6288285.31,18557.778313253013
Bengaluru,1084,17814886.5,4937859.59,16434.3971402214
Hyderabad,976,17585780.5,4782092.36,18018.217725409835
Ahmedabad,802,15298996.0,4201121.44,19076.05486284289
Kolkata,785,14324014.0,3916107.5100000002,18247.151592356688
Chennai,847,14133517.5,3902738.68,16686.561393152304
Pune,786,14127473.5,3885075.47,17973.88486005089
Jaipur,669,12344876.0,3368290.39,18452.729446935726
Lucknow,660,11242953.5,3085021.48,17034.77803030303
Surat,522,9677394.0,2624326.9,18539.068965517243
Kochi,450,6896871.0,1906793.27,15326.38
Patna,350,6542066.0,1786095.54,18691.617142857143
Indore,337,5551437.5,1511683.04,16473.10830860534
Bhopal,213,4702112.5,1237641.02,22075.6455399061
