Month,Orders,Sales,Profit
2024-01,440,9469513.5,2530680.83
2024-02,427,7586028.0,2057833.1
2024-03,472,8016398.5,2227603.31
2024-04,488,9707473.0,2611932.35
2024-05,463,8121881.5,2254676.99
2024-06,453,8726843.0,2340943.47
2024-07,471,8193067.0,2266709.99
2024-08,513,9860952.0,2656172.63
2024-09,429,7028708.0,1937561.45
2024-10,445,7861557.5,2128104.36
2024-11,484,8843349.5,2436343.87
2024-12,465,9102468.5,2456777.31
2025-01,510,8676629.0,2398047.46
2025-02,414,6442175.0,1799674.62
2025-03,481,8607406.5,2296675.35
2025-04,454,7395632.5,2098389.51
2025-05,444,7292839.5,2013083.01
2025-06,459,7692645.0,2132359.09
2025-07,465,8793509.5,2377224.17
2025-08,472,9401805.0,2573684.28
2025-09,448,7514830.5,2076374.26
2025-10,418,6080784.0,1736275.28
2025-11,429,8618851.5,2321085.7600000002
2025-12,469,7823192.5,2132516.62
